...1,Strain,Promoter,mTurq,Terminator,mTurq_per_OD_at_max_gr
46,pRPS3-mTurq-tPMA1_long,pRPS3,mTurq,tPMA1,666.2262107147249
47,pRPS3-mTurq-tRPS13,pRPS3,mTurq,tRPS13,3671.777675925876
48,pRPS3-mTurq-tRPS3,pRPS3,mTurq,tRPS3,5177.082902723264
49,pRPS3-mTurq-tSRO9_long,pRPS3,mTurq,tSRO9,2344.708833553424
50,pRPS3-mTurq-tSUN4,pRPS3,mTurq,tSUN4,1262.3472231936566
51,pRPS3-mTurq-tTOS6,pRPS3,mTurq,tTOS6,1679.6424058806615
52,pSRO9-mTurq-tCLN2,pSRO9,mTurq,tCLN2,761.3895804277464
53,pSRO9-mTurq-tHSP26,pSRO9,mTurq,tHSP26,758.3517654332553
54,pSRO9-mTurq-tPAB1,pSRO9,mTurq,tPAB1,972.9717738019342
55,pSRO9-mTurq-tPGK1,pSRO9,mTurq,tPGK1,633.1910202158249
56,pSRO9-mTurq-tPMA1_long,pSRO9,mTurq,tPMA1,155.20444475390858
57,pSRO9-mTurq-tRPS13,pSRO9,mTurq,tRPS13,571.9488273921801
58,pSRO9-mTurq-tRPS3,pSRO9,mTurq,tRPS3,830.2596771562208
59,pSRO9-mTurq-tSRO9_long,pSRO9,mTurq,tSRO9,300.2888751692598
60,pSRO9-mTurq-tSUN4,pSRO9,mTurq,tSUN4,226.54609860609412
61,pSRO9-mTurq-tTOS6,pSRO9,mTurq,tTOS6,324.3214210798901
2,pCLN2-mTurq-tCLN2,pCLN2,mTurq,tCLN2,109.500923469443
3,pCLN2-mTurq-tHSP26,pCLN2,mTurq,tHSP26,178.46813429768892
4,pCLN2-mTurq-tPAB1,pCLN2,mTurq,tPAB1,140.68892835497127
5,pCLN2-mTurq-tPGK1,pCLN2,mTurq,tPGK1,123.23980043954909
6,pCLN2-mTurq-tPMA1_long,pCLN2,mTurq,tPMA1,29.760364497199888
7,pCLN2-mTurq-tRPS13,pCLN2,mTurq,tRPS13,103.5704476078205
8,pCLN2-mTurq-tRPS3,pCLN2,mTurq,tRPS3,191.2889721451492
9,pCLN2-mTurq-tSRO9_long,pCLN2,mTurq,tSRO9,17.08193331054113
10,pCLN2-mTurq-tSUN4,pCLN2,mTurq,tSUN4,49.31544467080197
