...1,Strain,Promoter,mTurq,Terminator,mTurq_per_OD_at_max_gr,norm_fluo_per_OD_at_max_gr,remove
15,pHSP26-mTurq-tPGK1,pHSP26,mTurq,tPGK1,4845.61373238376,0.6019662761848897,FALSE
16,pHSP26-mTurq-tPMA1_long,pHSP26,mTurq,tPMA1,2224.563665152632,0.2763555618762403,FALSE
17,pHSP26-mTurq-tRPS13,pHSP26,mTurq,tRPS13,5323.454826327789,0.6613280494948924,FALSE
18,pHSP26-mTurq-tRPS3,pHSP26,mTurq,tRPS3,6294.7287240329315,0.7819885403321434,FALSE
19,pHSP26-mTurq-tSRO9_long,pHSP26,mTurq,tSRO9,2887.2503821282576,0.35868054222475937,FALSE
20,pHSP26-mTurq-tSUN4,pHSP26,mTurq,tSUN4,3029.2424597999284,0.37632009150879253,FALSE
21,pHSP26-mTurq-tTOS6,pHSP26,mTurq,tTOS6,4261.874350728856,0.5294488529555296,FALSE
12,pHSP26-mTurq-tCLN2,pHSP26,mTurq,tCLN2,5053.475526555016,0.6277887616550277,FALSE
13,pHSP26-mTurq-tHSP26,pHSP26,mTurq,tHSP26,2162.33710108691,0.2686252112706843,FALSE
14,pHSP26-mTurq-tPAB1,pHSP26,mTurq,tPAB1,8433.389217040327,1.0476724276786644,FALSE
15,pHSP26-mTurq-tPGK1,pHSP26,mTurq,tPGK1,6053.735663620203,0.7520501871791602,FALSE
16,pHSP26-mTurq-tPMA1_long,pHSP26,mTurq,tPMA1,2192.8883537321676,0.2724205661634488,FALSE
17,pHSP26-mTurq-tRPS13,pHSP26,mTurq,tRPS13,5121.335975332962,0.6362190047381883,FALSE
18,pHSP26-mTurq-tRPS3,pHSP26,mTurq,tRPS3,6210.178040800704,0.7714848842949228,FALSE
19,pHSP26-mTurq-tSRO9_long,pHSP26,mTurq,tSRO9,3030.8204123063415,0.3765161191425954,FALSE
20,pHSP26-mTurq-tSUN4,pHSP26,mTurq,tSUN4,2769.1290895144252,0.344006439297881,FALSE
21,pHSP26-mTurq-tTOS6,pHSP26,mTurq,tTOS6,3596.573232885554,0.44679908791683753,FALSE
12,pHSP26-mTurq-tCLN2,pHSP26,mTurq,tCLN2,8298.145587845562,1.030871232135566,FALSE
13,pHSP26-mTurq-tHSP26,pHSP26,mTurq,tHSP26,9039.573034032464,1.1229781031103685,FALSE
14,pHSP26-mTurq-tPAB1,pHSP26,mTurq,tPAB1,9205.759044475655,1.1436232431040794,FALSE
15,pHSP26-mTurq-tPGK1,pHSP26,mTurq,tPGK1,8089.719389417143,1.0049786312274853,FALSE
