X,sample_id,Strain,Promoter,mCherry,Terminator,BioRep,mCh_per_OD_at_max_gr
42,pRPS3-mCherry-tHSP26_biorep3,pRPS3-mCherry-tHSP26,pRPS3,mCherry,tHSP26,biorep3,2052.167557858907
43,pRPS3-mCherry-tPAB1_biorep3,pRPS3-mCherry-tPAB1,pRPS3,mCherry,tPAB1,biorep3,3785.467906120943
44,pRPS3-mCherry-tPGK1_biorep3,pRPS3-mCherry-tPGK1,pRPS3,mCherry,tPGK1,biorep3,2427.3151900590187
45,pRPS3-mCherry-tPMA1_biorep3,pRPS3-mCherry-tPMA1,pRPS3,mCherry,tPMA1,biorep3,790.0253173070587
46,pRPS3-mCherry-tRPS13_biorep3,pRPS3-mCherry-tRPS13,pRPS3,mCherry,tRPS13,biorep3,3701.976206319551
47,pRPS3-mCherry-tRPS3_biorep3,pRPS3-mCherry-tRPS3,pRPS3,mCherry,tRPS3,biorep3,4804.46481674309
48,pRPS3-mCherry-tSRO9_biorep3,pRPS3-mCherry-tSRO9,pRPS3,mCherry,tSRO9,biorep3,1378.8439811702958
49,pRPS3-mCherry-tSUN4_biorep3,pRPS3-mCherry-tSUN4,pRPS3,mCherry,tSUN4,biorep3,1071.9860443127145
50,pRPS3-mCherry-tTOS6_biorep3,pRPS3-mCherry-tTOS6,pRPS3,mCherry,tTOS6,biorep3,1516.1277274041918
51,pSRO9-mCherry-tCLN2_biorep3,pSRO9-mCherry-tCLN2,pSRO9,mCherry,tCLN2,biorep3,77.70205304350355
52,pSRO9-mCherry-tHSP26_biorep3,pSRO9-mCherry-tHSP26,pSRO9,mCherry,tHSP26,biorep3,-3.815052091165539
53,pSRO9-mCherry-tPAB1_biorep3,pSRO9-mCherry-tPAB1,pSRO9,mCherry,tPAB1,biorep3,62.05905328265033
54,pSRO9-mCherry-tPGK1_biorep3,pSRO9-mCherry-tPGK1,pSRO9,mCherry,tPGK1,biorep3,-2.714018525635479
55,pSRO9-mCherry-tPMA1_biorep3,pSRO9-mCherry-tPMA1,pSRO9,mCherry,tPMA1,biorep3,17.843961464150553
56,pSRO9-mCherry-tRPS13_biorep3,pSRO9-mCherry-tRPS13,pSRO9,mCherry,tRPS13,biorep3,77.9024902181237
57,pSRO9-mCherry-tRPS3_biorep3,pSRO9-mCherry-tRPS3,pSRO9,mCherry,tRPS3,biorep3,17.93132669993663
58,pSRO9-mCherry-tSRO9_biorep3,pSRO9-mCherry-tSRO9,pSRO9,mCherry,tSRO9,biorep3,-3.2591946977416915
59,pSRO9-mCherry-tSUN4_biorep3,pSRO9-mCherry-tSUN4,pSRO9,mCherry,tSUN4,biorep3,16.92369971018932
60,pSRO9-mCherry-tTOS6_biorep3,pSRO9-mCherry-tTOS6,pSRO9,mCherry,tTOS6,biorep3,39.60131930234097
2,pCLN2-mCherry-tCLN2_biorep4,pCLN2-mCherry-tCLN2,pCLN2,mCherry,tCLN2,biorep4,89.04285570176422
3,pCLN2-mCherry-tHSP26_biorep4,pCLN2-mCherry-tHSP26,pCLN2,mCherry,tHSP26,biorep4,22.725411604559227
4,pCLN2-mCherry-tPAB1_biorep4,pCLN2-mCherry-tPAB1,pCLN2,mCherry,tPAB1,biorep4,85.64708522117763
5,pCLN2-mCherry-tPGK1_biorep4,pCLN2-mCherry-tPGK1,pCLN2,mCherry,tPGK1,biorep4,23.627145442615223
6,pCLN2-mCherry-tPMA1_biorep4,pCLN2-mCherry-tPMA1,pCLN2,mCherry,tPMA1,biorep4,49.85629991155194
7,pCLN2-mCherry-tRPS13_biorep4,pCLN2-mCherry-tRPS13,pCLN2,mCherry,tRPS13,biorep4,24.38324029076591
8,pCLN2-mCherry-tRPS3_biorep4,pCLN2-mCherry-tRPS3,pCLN2,mCherry,tRPS3,biorep4,118.01236964040284
9,pCLN2-mCherry-tSRO9_biorep4,pCLN2-mCherry-tSRO9,pCLN2,mCherry,tSRO9,biorep4,23.93962621464821
10,pCLN2-mCherry-tSUN4_biorep4,pCLN2-mCherry-tSUN4,pCLN2,mCherry,tSUN4,biorep4,49.99616089745408
11,pCLN2-mCherry-tTOS6_biorep4,pCLN2-mCherry-tTOS6,pCLN2,mCherry,tTOS6,biorep4,49.01547074815039
12,pHSP26-mCherry-tCLN2_biorep4,pHSP26-mCherry-tCLN2,pHSP26,mCherry,tCLN2,biorep4,7580.48973952272
13,pHSP26-mCherry-tHSP26_biorep4,pHSP26-mCherry-tHSP26,pHSP26,mCherry,tHSP26,biorep4,7477.433803209604
14,pHSP26-mCherry-tPAB1_biorep4,pHSP26-mCherry-tPAB1,pHSP26,mCherry,tPAB1,biorep4,8463.876394517249
15,pHSP26-mCherry-tPGK1_biorep4,pHSP26-mCherry-tPGK1,pHSP26,mCherry,tPGK1,biorep4,10801.09306478268
16,pHSP26-mCherry-tPMA1_biorep4,pHSP26-mCherry-tPMA1,pHSP26,mCherry,tPMA1,biorep4,4902.345507734902
17,pHSP26-mCherry-tRPS13_biorep4,pHSP26-mCherry-tRPS13,pHSP26,mCherry,tRPS13,biorep4,10282.551135413883
