X,sample_id,Strain,Promoter,mCherry,Terminator,BioRep,mCh_per_OD_at_max_gr,norm_fluo_per_OD_at_max_gr,remove
41,pRPS3-mCherry-tCLN2_biorep4,pRPS3-mCherry-tCLN2,pRPS3,mCherry,tCLN2,biorep4,4237.985151926095,1.3492613821910933,FALSE
42,pRPS3-mCherry-tHSP26_biorep4,pRPS3-mCherry-tHSP26,pRPS3,mCherry,tHSP26,biorep4,2112.8349072659216,0.6726702536991148,FALSE
43,pRPS3-mCherry-tPAB1_biorep4,pRPS3-mCherry-tPAB1,pRPS3,mCherry,tPAB1,biorep4,4829.934703866185,1.5377223234181034,FALSE
44,pRPS3-mCherry-tPGK1_biorep4,pRPS3-mCherry-tPGK1,pRPS3,mCherry,tPGK1,biorep4,3293.2094445413327,1.0484700081988605,FALSE
45,pRPS3-mCherry-tPMA1_biorep4,pRPS3-mCherry-tPMA1,pRPS3,mCherry,tPMA1,biorep4,950.554338538216,0.3026311359493361,FALSE
46,pRPS3-mCherry-tRPS13_biorep4,pRPS3-mCherry-tRPS13,pRPS3,mCherry,tRPS13,biorep4,4853.436249660623,1.5452045884628072,FALSE
47,pRPS3-mCherry-tRPS3_biorep4,pRPS3-mCherry-tRPS3,pRPS3,mCherry,tRPS3,biorep4,6409.823828205521,2.0407168614348192,FALSE
48,pRPS3-mCherry-tSRO9_biorep4,pRPS3-mCherry-tSRO9,pRPS3,mCherry,tSRO9,biorep4,1647.7369693444052,0.5245954813538162,FALSE
49,pRPS3-mCherry-tSUN4_biorep4,pRPS3-mCherry-tSUN4,pRPS3,mCherry,tSUN4,biorep4,1320.9542194552178,0.4205565739519574,FALSE
50,pRPS3-mCherry-tTOS6_biorep4,pRPS3-mCherry-tTOS6,pRPS3,mCherry,tTOS6,biorep4,1165.8031532165958,0.37116061465124967,FALSE
42,pRPS3-mCherry-tCLN2_biorep5,pRPS3-mCherry-tCLN2,pRPS3,mCherry,tCLN2,biorep5,5271.474229531748,1.6782967259548272,FALSE
